time,open,high,low,close,Volume,Long Entry,Long Exit,KD,J,RSI,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment,URANIUM,USDKRW,US10Y,US02Y,ALUMINUM,LITHUSD,REMX,XAUUSD,BTCUSD,IXIC,FXCM COPPER (FX:COPPER)
2020-03-09,8034,8178,7627.3,7924.5,270007308.19301283,0,0,35.8914232709853,20.49701705474176,-5.760840468840996,0.16,6.68,-6.503504330914056,1.27,0.3,89.1,,1200.12,0.542,0.387,,,31.08,1680.082,7936.25,7950.68,2.4842
2020-03-10,7924.5,8145.4,7738,7896.7,274212340.73998475,1,0,31.396601014783684,12.462342266157862,-6.3479705337026076,0.26,6.38,-6.489899625379098,1.27,0.3,89.1,,1184.02,0.811,0.546,,,33.33,1649.387,7885.92,8344.25,2.5385
2020-03-11,7896.9,7980,7579.1,7932.5,225211261.29325762,0,0,28.864273759474145,13.066326246887371,-4.641354368127139,0.32,6.61,-6.486762565298796,1.27,0.3,89.1,,1190.81,0.876,0.529,,,31.56,1634.868,7934.57,7952.05,2.4762
2020-03-12,7932.5,7970.5,4412.4,4713.9,1604822639.6688797,1,0,23.500364291225623,2.191616864310916,-40.45094801170083,0.38,7.42,-6.46644817214714,1.27,0.3,89.1,,1210.41,0.806,0.481,,,27.81,1577.267,4841.67,7201.8,2.4403
2020-03-13,4703.6,5978.4,3728.8,5565.8,4182265891.1428685,1,0,25.275110626009287,19.057602749511105,-17.427005707297525,0.45,7.31,-6.422506155386078,1.27,0.3,89.1,,1210.78,0.976,0.5,,,28.71,1529.486,5622.74,7874.88,2.4917
2020-03-14,5562.2,5638,5050,5175.8,2759762581.211663,1,0,25.40480629214733,22.62029151924333,-20.70950129970373,0.45,7.31,-6.422506155386078,1.27,0.3,89.1,,1210.78,0.976,0.5,,,28.71,1529.486,5169.37,7874.88,2.4917
2020-03-15,5176.2,5948,5095.3,5362.6,913809651.3214825,0,0,26.341634011148074,27.291445922197937,-16.00717685623016,0.45,7.31,-6.422506155386078,1.27,0.3,89.1,,1210.78,0.976,0.5,,,28.71,1529.486,5343.64,7874.88,2.4917
2020-03-16,5361.8,5369.5,4427.1,5035,688939437.6194246,0,0,26.125116212070644,26.05872766990199,-19.01182178813673,0.37,8.38,-6.43184079809318,-0.9,0.3,89.1,,1232.36,0.724,0.368,,,24.12,1515.107,5033.42,6904.59,2.3821
2020-03-17,5035,5528.5,4916.4,5310.6,362838260.7558023,0,0,28.218605946009014,33.41913600977062,-11.859680234070964,0.55,8.41,-6.491512612291212,-0.9,0.3,89.1,,1238.08,1.083,0.497,,,27.66,1528.358,5324.99,7334.78,2.3097
2020-03-18,5309.9,5430,5000,5393.6,322153578.8694833,0,0,30.439850598095212,38.59322726019152,-9.685230225814934,0.64,9.04,-6.532444589934934,-0.9,0.3,89.1,,1253.49,1.201,0.542,,,26.58,1486.304,5406.92,6989.84,2.1602
